name,url
mobil123,https://www.mobil123.com/mobil-bekas-dijual/indonesia_jabodetabek_bekasi?page_size=50&page_number=1&sort=modification_date_search.desc
olx,https://www.olx.co.id
coordinator-olx,https://www.olx.co.id/jakarta-dki_g2000007/mobil-bekas_c198?filter=m_tipe_eq_mobil-bekas-toyota-avanza
coordinator-olx-c198,https://www.olx.co.id/jakarta-dki_g2000007/_c198?filter=m_tipe_eq_mobil-bekas-toyota-avanza
